ARTEFACT	102	2.67015706806283e-05
Categories	Len	Prop
DNA	4587762	1.20098481675393
DNA/CMC-EnSpm	17124876	4.48295183246073
DNA/CMC-Transib	82526	0.021603664921466
DNA/MULE-MuDR	15301334	4.00558481675393
DNA/MuLE-MuDR	86731	0.0227044502617801
DNA/PIF-Harbinger	11941822	3.12613141361257
DNA/TcMar-Stowaway	10818627	2.83210130890052
DNA/hAT	632219	0.165502356020942
DNA/hAT-Ac	2069526	0.541760732984293
DNA/hAT-Tag1	313266	0.0820068062827225
DNA/hAT-Tip100	464604	0.121624083769634
DNA/hAT?	72109	0.0188767015706806
LINE/L1	4781886	1.25180261780105
LINE/R1	62451	0.0163484293193717
LTR	1759861	0.460696596858639
LTR/Cassandra	55603	0.0145557591623037
LTR/Caulimovirus	408697	0.106988743455497
LTR/Copia	13154886	3.44368743455497
LTR/Copia?	310054	0.0811659685863874
LTR/Gypsy	72292736	18.9248
Low_complexity	538829	0.141054712041885
Other/centromeric	1826	0.000478010471204188
RC/Helitron	4176093	1.09321806282723
SINE	839926	0.219875916230367
SINE/L1	423261	0.110801308900524
SINE/tRNA	868736	0.22741780104712
SINE/tRNA-L1	102534	0.0268413612565445
Satellite	437112	0.11442722513089
Simple_repeat	5307564	1.38941465968586
Unknown	9777308	2.55950471204188
rRNA	68799	0.0180102094240838
